year,district_code,district_name,neighbourhood_code,neighbourhood_name,From 6 months to 12 motnhs,Over 12 months,Up to 6 months
2018,8,Nou Barris,56,Vallbona,203,462,603
2018,9,Sant Andreu,57,la Trinitat Vella,1618,3691,4825
2018,9,Sant Andreu,58,Baró de Viver,212,568,620
2018,9,Sant Andreu,59,el Bon Pastor,1203,3229,3514
2018,9,Sant Andreu,60,Sant Andreu,4870,13067,14232
2018,9,Sant Andreu,61,la Sagrera,2076,5840,6858
2018,9,Sant Andreu,62,el Congrés i els Indians,1010,2845,3340
2018,9,Sant Andreu,63,Navas,1566,4349,5169
2018,10,Sant Martí,64,el Camp de l'Arpa del Clot,3274,8034,10110
2018,10,Sant Martí,65,el Clot,2184,5790,6651
2018,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,1059,2871,3163
2018,10,Sant Martí,67,la Vila Olímpica del Poblenou,730,1809,2148
2018,10,Sant Martí,68,el Poblenou,2495,6272,7358
2018,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,1172,2900,3424
2018,10,Sant Martí,70,el Besòs i el Maresme,2674,6684,7807
2018,10,Sant Martí,71,Provençals del Poblenou,1716,4818,5078
2018,10,Sant Martí,72,Sant Martí de Provençals,2350,6971,6944
2018,10,Sant Martí,73,la Verneda i la Pau,2658,7917,7848
2018,99,No consta,99,No consta,9,24,82
2019,1,Ciutat Vella,1,el Raval,5715,12281,19079
2019,1,Ciutat Vella,2,el Barri Gòtic,1571,3328,5393
2019,1,Ciutat Vella,3,la Barceloneta,1761,3793,5775
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",2435,5250,7978
2019,2,Eixample,5,el Fort Pienc,2173,5005,6812
2019,2,Eixample,6,la Sagrada Família,3497,8059,11232
2019,2,Eixample,7,la Dreta de l'Eixample,2430,4638,7862
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2777,5076,8774
2019,2,Eixample,9,la Nova Esquerra de l'Eixample,3847,8246,12761
2019,2,Eixample,10,Sant Antoni,2791,5761,9533
2019,3,Sants-Montjuïc,11,el Poble Sec,3925,8206,12738
2019,3,Sants-Montjuïc,12,la Marina del Prat Vermell,150,470,531
2019,3,Sants-Montjuïc,13,la Marina de Port,2818,7646,8676
2019,3,Sants-Montjuïc,14,la Font de la Guatlla,986,2102,3187
2019,3,Sants-Montjuïc,15,Hostafrancs,1280,2905,4008
2019,3,Sants-Montjuïc,16,la Bordeta,1502,3410,4703
2019,3,Sants-Montjuïc,17,Sants - Badal,1608,3738,4804
2019,3,Sants-Montjuïc,18,Sants,3067,7001,9438
2019,4,Les Corts,19,les Corts,3136,6996,9687
2019,4,Les Corts,20,la Maternitat i Sant Ramon,1592,3696,4750
2019,4,Les Corts,21,Pedralbes,381,868,1185
2019,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",178,374,526
2019,5,Sarrià-Sant Gervasi,23,Sarrià,859,1901,2626
2019,5,Sarrià-Sant Gervasi,24,les Tres Torres,687,1446,2050
2019,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,1173,2056,3493
2019,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,2092,3792,6630
2019,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,1735,3459,5777
2019,6,Gràcia,28,Vallcarca i els Penitents,1069,2311,3719
2019,6,Gràcia,29,el Coll,445,938,1580
2019,6,Gràcia,30,la Salut,893,2114,3101
2019,6,Gràcia,31,la Vila de Gràcia,3472,7096,12126
2019,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,2264,5097,7617
2019,7,Horta-Guinardó,33,el Baix Guinardó,1736,4033,5805
2019,7,Horta-Guinardó,34,Can Baró,639,1528,2215
2019,7,Horta-Guinardó,35,el Guinardó,2727,6277,8719
2019,7,Horta-Guinardó,36,la Font d'en Fargues,816,1964,2718
2019,7,Horta-Guinardó,37,el Carmel,2784,6705,9280
2019,7,Horta-Guinardó,38,la Teixonera,902,2141,2824
2019,7,Horta-Guinardó,39,Sant Genís dels Agudells,556,1314,1710
2019,7,Horta-Guinardó,40,Montbau,401,950,1237
2019,7,Horta-Guinardó,41,la Vall d'Hebron,428,1013,1318
2019,7,Horta-Guinardó,42,la Clota,31,72,90
2019,7,Horta-Guinardó,43,Horta,2363,5777,7614
2019,8,Nou Barris,44,Vilapicina i la Torre Llobeta,2240,5409,7024
2019,8,Nou Barris,45,Porta,2217,5254,6875
2019,8,Nou Barris,46,el Turó de la Peira,1376,3376,4368
2019,8,Nou Barris,47,Can Peguera,191,481,604
2019,8,Nou Barris,48,la Guineueta,1535,4085,4849
2019,8,Nou Barris,49,Canyelles,750,1992,2363
2019,8,Nou Barris,50,les Roquetes,1629,4319,5129
2019,8,Nou Barris,51,Verdun,1248,3311,3933
2019,8,Nou Barris,52,la Prosperitat,2489,5900,7722
2019,8,Nou Barris,53,la Trinitat Nova,1163,2692,3535
2019,8,Nou Barris,54,Torre Baró,322,740,982
2019,8,Nou Barris,55,Ciutat Meridiana,1691,3858,5119
2019,8,Nou Barris,56,Vallbona,195,447,595
2019,9,Sant Andreu,57,la Trinitat Vella,1565,3576,4743
