year,district_code,district_name,neighbourhood_code,neighbourhood_name,1 Spanish,1 foreigner,2 Spanish,2 foreigners,3 Spanish,3 foreigners,4 espanyols o més,more than 4 foreigners,no Spanish,no foreigner
2016,6,Gràcia,29,el Coll,965.0,294.0,872.0,115.0,542.0,63.0,473.0,60.0,,
2016,6,Gràcia,30,la Salut,1741.0,529.0,1513.0,148.0,900.0,102.0,876.0,80.0,,
2016,6,Gràcia,31,la Vila de Gràcia,8771.0,3165.0,5632.0,1089.0,3068.0,503.0,2588.0,531.0,,
2016,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,5019.0,1397.0,4201.0,495.0,2503.0,203.0,2095.0,264.0,,
2016,7,Horta-Guinardó,33,el Baix Guinardó,3593.0,899.0,3093.0,361.0,1884.0,179.0,1528.0,223.0,,
2016,7,Horta-Guinardó,34,Can Baró,1221.0,338.0,1110.0,98.0,650.0,80.0,551.0,77.0,,
2016,7,Horta-Guinardó,35,el Guinardó,5099.0,1302.0,4454.0,492.0,2634.0,290.0,2187.0,321.0,,
2016,7,Horta-Guinardó,36,la Font d'en Fargues,951.0,184.0,1102.0,50.0,750.0,24.0,801.0,27.0,,
2016,7,Horta-Guinardó,37,el Carmel,3673.0,846.0,3862.0,339.0,2495.0,262.0,1966.0,347.0,,
2016,7,Horta-Guinardó,38,la Teixonera,1360.0,330.0,1471.0,158.0,867.0,83.0,710.0,94.0,,
2016,7,Horta-Guinardó,39,Sant Genís dels Agudells,875.0,208.0,891.0,87.0,508.0,47.0,409.0,51.0,,
2016,7,Horta-Guinardó,40,Montbau,732.0,117.0,662.0,40.0,326.0,33.0,296.0,39.0,,
2016,7,Horta-Guinardó,41,la Vall d'Hebron,656.0,110.0,701.0,39.0,463.0,35.0,403.0,37.0,,
2016,7,Horta-Guinardó,42,la Clota,85.0,13.0,81.0,7.0,53.0,1.0,24.0,7.0,,
2016,7,Horta-Guinardó,43,Horta,3183.0,564.0,3163.0,192.0,1970.0,120.0,1866.0,179.0,,
2016,8,Nou Barris,44,Vilapicina i la Torre Llobeta,3213.0,664.0,3169.0,309.0,1973.0,190.0,1600.0,250.0,,
2016,8,Nou Barris,45,Porta,3196.0,598.0,3281.0,290.0,1851.0,193.0,1307.0,263.0,,
2016,8,Nou Barris,46,el Turó de la Peira,2177.0,490.0,1798.0,239.0,929.0,197.0,843.0,282.0,,
2016,8,Nou Barris,47,Can Peguera,296.0,55.0,276.0,17.0,159.0,9.0,160.0,9.0,,
2016,8,Nou Barris,48,la Guineueta,1728.0,268.0,2007.0,86.0,1221.0,56.0,1056.0,84.0,,
2016,8,Nou Barris,49,Canyelles,706.0,79.0,876.0,34.0,644.0,16.0,529.0,20.0,,
2016,8,Nou Barris,50,les Roquetes,1631.0,430.0,1670.0,231.0,1058.0,183.0,972.0,298.0,,
2016,8,Nou Barris,51,Verdun,1680.0,332.0,1540.0,149.0,833.0,116.0,646.0,215.0,,
2016,8,Nou Barris,52,la Prosperitat,3168.0,595.0,3403.0,285.0,2004.0,207.0,1550.0,330.0,,
2016,8,Nou Barris,53,la Trinitat Nova,959.0,201.0,799.0,98.0,467.0,47.0,445.0,142.0,,
2016,8,Nou Barris,54,Torre Baró,235.0,91.0,224.0,41.0,171.0,33.0,235.0,34.0,,
2016,8,Nou Barris,55,Ciutat Meridiana,926.0,325.0,1038.0,184.0,596.0,153.0,567.0,295.0,,
2016,8,Nou Barris,56,Vallbona,138.0,35.0,115.0,16.0,86.0,12.0,105.0,11.0,,
2016,9,Sant Andreu,57,la Trinitat Vella,894.0,339.0,926.0,192.0,619.0,148.0,593.0,288.0,,
2016,9,Sant Andreu,58,Baró de Viver,298.0,72.0,251.0,25.0,182.0,13.0,195.0,20.0,,
2016,9,Sant Andreu,59,el Bon Pastor,1124.0,258.0,1244.0,110.0,877.0,71.0,1000.0,128.0,,
2016,9,Sant Andreu,60,Sant Andreu,6764.0,1190.0,7100.0,340.0,4832.0,195.0,4059.0,298.0,,
