year,district_code,district_name,neighborhood_code,neighborhood_name,man_bachelors_degree,man_elementary_school,man_junior_high_school,man_senior_high_school,man_unknown,man_without education,woman_bachelors_degree,woman_elementary_school,woman_junior_high_school,woman_senior_high_school,woman_unknown,woman_without education
2017,2,Eixample,10,Sant Antoni,5631,2205,3163,4567,252,193,6422,3203,3526,4203,225,592
2017,3,Sants-Montjuïc,11,el Poble Sec,3954,4190,4380,4191,294,258,5018,4443,3883,3745,240,756
2017,3,Sants-Montjuïc,12,la Marina del Prat Vermell,20,209,189,67,13,17,33,211,134,51,9,40
2017,3,Sants-Montjuïc,13,la Marina de Port,1615,3373,3711,3109,320,297,2140,4162,3507,2936,282,679
2017,3,Sants-Montjuïc,14,la Font de la Guatlla,1216,728,985,1210,82,83,1531,1000,1032,1114,74,207
2017,3,Sants-Montjuïc,15,Hostafrancs,1867,1289,1531,1756,112,111,2320,1555,1573,1623,76,248
2017,3,Sants-Montjuïc,16,la Bordeta,1608,1428,2030,2240,133,152,2118,2025,2035,2016,99,372
2017,3,Sants-Montjuïc,17,Sants - Badal,2311,1997,2440,2686,149,232,2969,2746,2594,2513,130,511
2017,3,Sants-Montjuïc,18,Sants,5013,2713,3795,4716,262,270,6439,3690,3879,4472,219,726
2017,4,Les Corts,19,les Corts,8069,1657,2824,5443,284,159,8853,2855,3655,5704,259,500
2017,4,Les Corts,20,la Maternitat i Sant Ramon,3698,1105,1690,2820,150,141,4173,1819,1989,2838,138,361
2017,4,Les Corts,21,Pedralbes,2668,164,441,1221,131,11,2487,408,725,1582,141,35
2017,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",731,166,322,550,54,14,823,190,279,537,47,49
2017,5,Sarrià-Sant Gervasi,23,Sarrià,4766,508,1035,2541,263,44,5285,977,1447,2996,247,161
2017,5,Sarrià-Sant Gervasi,24,les Tres Torres,3455,195,523,1735,188,11,3578,479,819,2377,152,48
2017,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,5040,478,1007,2907,224,22,5495,854,1504,3557,206,138
2017,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,9850,714,1724,4980,441,37,10612,1586,2768,6863,425,192
2017,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,5639,521,1372,3350,232,46,6628,1045,1892,4010,204,162
2017,6,Gràcia,28,Vallcarca i els Penitents,2341,594,1158,1803,124,75,2866,949,1276,1863,90,209
2017,6,Gràcia,29,el Coll,821,446,678,855,44,56,1061,598,729,898,40,128
2017,6,Gràcia,30,la Salut,2016,528,881,1609,88,46,2543,848,1121,1579,65,148
2017,6,Gràcia,31,la Vila de Gràcia,8311,2215,3279,5605,281,199,11275,3367,3628,5534,245,690
2017,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,5324,1303,2467,4149,176,134,6672,2329,2880,4161,174,420
2017,7,Horta-Guinardó,33,el Baix Guinardó,3159,1316,2283,3169,158,174,3937,2192,2589,3115,133,498
2017,7,Horta-Guinardó,34,Can Baró,870,685,967,1024,58,74,1176,842,946,962,51,229
2017,7,Horta-Guinardó,35,el Guinardó,4016,2083,3401,4585,236,226,5146,3061,3709,4378,199,600
2017,7,Horta-Guinardó,36,la Font d'en Fargues,1101,447,887,1190,71,53,1324,721,920,1068,56,125
2017,7,Horta-Guinardó,37,el Carmel,1380,3383,4398,2836,299,537,1987,4054,4128,2950,205,1036
2017,7,Horta-Guinardó,38,la Teixonera,708,1144,1532,1183,98,152,944,1365,1402,1163,53,329
2017,7,Horta-Guinardó,39,Sant Genís dels Agudells,511,618,801,712,61,121,679,744,807,747,42,237
2017,7,Horta-Guinardó,40,Montbau,432,348,514,579,29,84,658,547,565,560,24,213
2017,7,Horta-Guinardó,41,la Vall d'Hebron,643,370,538,720,50,42,855,513,539,627,39,97
2017,7,Horta-Guinardó,42,la Clota,59,55,70,63,4,10,91,39,61,53,4,12
2017,7,Horta-Guinardó,43,Horta,2167,2196,2757,3070,186,323,3072,2839,2754,3002,119,695
2017,8,Nou Barris,44,Vilapicina i la Torre Llobeta,2013,1872,2825,2997,152,248,2808,2795,2993,2834,158,632
2017,8,Nou Barris,45,Porta,1451,2359,2996,2655,162,381,2144,3219,2893,2569,134,764
2017,8,Nou Barris,46,el Turó de la Peira,739,1585,1824,1543,113,225,1094,2058,1885,1534,115,594
2017,8,Nou Barris,47,Can Peguera,77,279,313,159,33,25,93,358,297,177,23,83
