"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Nacionalitat","Nombre"
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dona","Rússia",3
2020,3,"Sants-Montjuïc",13,"la Marina de Port","Dona","Rússia",59
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dona","Rússia",51
2020,3,"Sants-Montjuïc",15,"Hostafrancs","Dona","Rússia",71
2020,3,"Sants-Montjuïc",16,"la Bordeta","Dona","Rússia",28
2020,3,"Sants-Montjuïc",17,"Sants - Badal","Dona","Rússia",70
2020,3,"Sants-Montjuïc",18,"Sants","Dona","Rússia",88
2020,4,"Les Corts",19,"les Corts","Dona","Rússia",119
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dona","Rússia",63
2020,4,"Les Corts",21,"Pedralbes","Dona","Rússia",116
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dona","Rússia",21
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dona","Rússia",79
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dona","Rússia",55
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dona","Rússia",105
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dona","Rússia",166
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dona","Rússia",107
2020,6,"Gràcia",28,"Vallcarca i els Penitents","Dona","Rússia",62
2020,6,"Gràcia",29,"el Coll","Dona","Rússia",29
2020,6,"Gràcia",30,"la Salut","Dona","Rússia",32
2020,6,"Gràcia",31,"la Vila de Gràcia","Dona","Rússia",128
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dona","Rússia",79
2020,7,"Horta-Guinardó",33,"el Baix Guinardó","Dona","Rússia",46
2020,7,"Horta-Guinardó",34,"Can Baró","Dona","Rússia",34
2020,7,"Horta-Guinardó",35,"el Guinardó","Dona","Rússia",89
2020,7,"Horta-Guinardó",36,"la Font d'en Fargues","Dona","Rússia",12
2020,7,"Horta-Guinardó",37,"el Carmel","Dona","Rússia",94
2020,7,"Horta-Guinardó",38,"la Teixonera","Dona","Rússia",32
2020,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Dona","Rússia",25
2020,7,"Horta-Guinardó",40,"Montbau","Dona","Rússia",11
2020,7,"Horta-Guinardó",41,"la Vall d'Hebron","Dona","Rússia",17
2020,7,"Horta-Guinardó",42,"la Clota","Dona","Rússia",1
2020,7,"Horta-Guinardó",43,"Horta","Dona","Rússia",48
2020,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dona","Rússia",43
2020,8,"Nou Barris",45,"Porta","Dona","Rússia",86
2020,8,"Nou Barris",46,"el Turó de la Peira","Dona","Rússia",41
2020,8,"Nou Barris",47,"Can Peguera","Dona","Rússia",5
2020,8,"Nou Barris",48,"la Guineueta","Dona","Rússia",21
2020,8,"Nou Barris",49,"Canyelles","Dona","Rússia",7
2020,8,"Nou Barris",50,"les Roquetes","Dona","Rússia",41
2020,8,"Nou Barris",51,"Verdun","Dona","Rússia",29
2020,8,"Nou Barris",52,"la Prosperitat","Dona","Rússia",45
2020,8,"Nou Barris",53,"la Trinitat Nova","Dona","Rússia",23
2020,8,"Nou Barris",54,"Torre Baró","Dona","Rússia",3
2020,8,"Nou Barris",55,"Ciutat Meridiana","Dona","Rússia",48
